01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1985,Portugal,,Homens,,,,,149929.7
1985,Portugal,,Mulheres,,,,,191895.8
1985,Portugal,,Total,,,,,341825.5
1986,Portugal,,Homens,,,,,170025.8
1986,Portugal,,Mulheres,,,,,197740.8
1986,Portugal,,Total,,,,,367766.6
1987,Portugal,,Homens,,,,,137899.3
1987,Portugal,,Mulheres,,,,,181218.2
1987,Portugal,,Total,,,,,319117.5
1988,Portugal,,Homens,,,,,112202.3
1988,Portugal,,Mulheres,,,,,193974.7
1988,Portugal,,Total,,,,,306176.9
1989,Portugal,,Homens,,,,,101925.6
1989,Portugal,,Mulheres,,,,,209689.6
1989,Portugal,,Total,,,,,311615.2
1990,Portugal,,Homens,,,,,100112.5
1990,Portugal,,Mulheres,,,,,207174.0
1990,Portugal,,Total,,,,,307286.5
1991,Portugal,,Homens,,,,,101428.8
1991,Portugal,,Mulheres,,,,,192243.3
1991,Portugal,,Total,,,,,293672.1
1992,Portugal,,Homens,,,,,117841.9
1992,Portugal,,Mulheres,,,,,199383.5
1992,Portugal,,Total,,,,,317225.4
1993,Portugal,,Homens,,,,,140621.2
1993,Portugal,,Mulheres,,,,,206498.5
1993,Portugal,,Total,,,,,347119.7
1994,Portugal,,Homens,,,,,171577.8
1994,Portugal,,Mulheres,,,,,224392.8
1994,Portugal,,Total,,,,,395970.7
1995,Portugal,,Homens,,,,,190253.7
1995,Portugal,,Mulheres,,,,,239692.5
1995,Portugal,,Total,,,,,429946.2
1996,Portugal,,Homens,,,,,204131.7
1996,Portugal,,Mulheres,,,,,263580.8
1996,Portugal,,Total,,,,,467712.4
1997,Portugal,,Homens,,,,,187040.0
1997,Portugal,,Mulheres,,,,,255820.0
1997,Portugal,,Total,,,,,442860.0
1998,Portugal,,Homens,,,,,165290.0
1998,Portugal,,Mulheres,,,,,235370.0
1998,Portugal,,Total,,,,,400660.0
1999,Portugal,,Homens,,,,,144900.0
1999,Portugal,,Mulheres,,,,,211880.0
1999,Portugal,,Total,,,,,356780.0
2000,Portugal,,Homens,,,,,128660.0
2000,Portugal,,Mulheres,,,,,198770.0
2000,Portugal,,Total,,,,,327430.0
2001,Portugal,,Homens,,,,,127000.0
2001,Portugal,,Mulheres,,,,,197680.0
2001,Portugal,,Total,,,,,324680.0
2002,Portugal,,Homens,,,,,139260.0
2002,Portugal,,Mulheres,,,,,205330.0
2002,Portugal,,Total,,,,,344590.0
2003,Portugal,,Homens,,,,,182280.0
2003,Portugal,,Mulheres,,,,,245010.0
2003,Portugal,,Total,,,,,427290.0
2004,Portugal,,Homens,,,,,199520.0
2004,Portugal,,Mulheres,,,,,261500.0
2004,Portugal,,Total,,,,,461020.0
2005,Portugal,,Homens,,,,,206000.0
2005,Portugal,,Mulheres,,,,,271190.0
2005,Portugal,,Total,,,,,477190.0
2006,Portugal,,Homens,,,,,194400.0
2006,Portugal,,Mulheres,,,,,265090.0
2006,Portugal,,Total,,,,,459490.0
2007,Portugal,,Homens,,,,,167150.0
2007,Portugal,,Mulheres,,,,,243050.0
2007,Portugal,,Total,,,,,410200.0
2008,Portugal,,Homens,,,,,161000.0
2008,Portugal,,Mulheres,,,,,233500.0
2008,Portugal,,Total,,,,,394500.0
2009,Portugal,,Homens,,,,,226515.1
2009,Portugal,,Mulheres,,,,,269030.6
2009,Portugal,,Total,,,,,495545.7
2010,Portugal,,Homens,,,,,257144.0
2010,Portugal,,Mulheres,,,,,298684.0
2010,Portugal,,Total,,,,,555826.8
2011,Portugal,,Homens,,,,,257798.0
2011,Portugal,,Mulheres,,,,,294145.6
2011,Portugal,,Total,,,,,551944.0
2012,Portugal,,Homens,,,,,325510.0
2012,Portugal,,Mulheres,,,,,341640.0
2012,Portugal,,Total,,,,,667160.0
2013,Portugal,,Homens,,,,,347639.0
2013,Portugal,,Mulheres,,,,,360168.0
2013,Portugal,,Total,,,,,707807.0
2014,Portugal,,Homens,,,,,310401.0
2014,Portugal,,Mulheres,,,,,328786.0
2014,Portugal,,Total,,,,,639187.0
2015,Portugal,,Homens,,,,,269113.0
2015,Portugal,,Mulheres,,,,,291730.0
2015,Portugal,,Total,,,,,560843.0
2016,Portugal,,Homens,,,,,246970.0
2016,Portugal,,Mulheres,,,,,276205.0
2016,Portugal,,Total,,,,,523175.0
2017,Portugal,,Homens,,,,,199504.0
2017,Portugal,,Mulheres,,,,,234958.0
2017,Portugal,,Total,,,,,434462.0
2018,Portugal,,Homens,,,,,158983.0
2018,Portugal,,Mulheres,,,,,198342.0
2018,Portugal,,Total,,,,,357325.0
2019,Portugal,,Homens,,,,,136981.0
2019,Portugal,,Mulheres,,,,,177287.0
2019,Portugal,,Total,,,,,314268.0
2020,Portugal,,Homens,,,,,169542.0
2020,Portugal,,Mulheres,,,,,215350.0
2020,Portugal,,Total,,,,,384892.0
2021,Portugal,,Homens,,,,,168108.0
2021,Portugal,,Mulheres,,,,,218122.0
2021,Portugal,,Total,,,,,386230.0
