Ano,Regiao,Desemprego,Salario_Medio,Populacao,Rendimento_per_capita
2009,Abrantes,2164.1,908.9,19214.0,0.047304049130842095
2009,Abrantes,2164.1,908.9,20596.0,0.04412992814138668
2009,Abrantes,2164.1,908.9,39810.0,0.022830946998241647
2009,Águeda,2084.3,874.6,23050.0,0.03794360086767896
2009,Águeda,2084.3,874.6,24912.0,0.03510757867694284
2009,Águeda,2084.3,874.6,47962.0,0.01823526958842417
2009,Aguiar da Beira,168.1,688.7,2638.0,0.26106899166034875
2009,Aguiar da Beira,168.1,688.7,2943.0,0.2340129119945634
2009,Aguiar da Beira,168.1,688.7,5581.0,0.12340082422504928
2009,Alandroal,240.8,711.7,2888.0,0.24643351800554017
2009,Alandroal,240.8,711.7,3061.0,0.23250571708591966
2009,Alandroal,240.8,711.7,5949.0,0.11963355185745504
2009,Albergaria-a-Velha,1153.9,914.3,12248.0,0.07464892227302417
2009,Albergaria-a-Velha,1153.9,914.3,12995.0,0.07035782993459022
2009,Albergaria-a-Velha,1153.9,914.3,25243.0,0.03621994216218358
2009,Albufeira,2292.0,882.3,19581.0,0.045058985751493794
2009,Albufeira,2292.0,882.3,20278.0,0.043510208107308414
2009,Albufeira,2292.0,882.3,39859.0,0.022135527735266815
2009,Alcácer do Sal,430.1,854.1,6413.0,0.133182597848121
2009,Alcácer do Sal,430.1,854.1,6759.0,0.12636484687083888
2009,Alcácer do Sal,430.1,854.1,13172.0,0.06484208928029153
2009,Alcanena,465.1,884.3,6764.0,0.13073625073920755
2009,Alcanena,465.1,884.3,7211.0,0.12263208986270974
2009,Alcanena,465.1,884.3,13975.0,0.0632772808586762
2009,Alcobaça,2435.1,823.7,27637.0,0.02980424792850165
2009,Alcobaça,2435.1,823.7,29226.0,0.02818380893724766
2009,Alcoutim,35.6,700.8,1494.0,0.4690763052208835
2009,Alcoutim,35.6,700.8,1511.0,0.46379880873593643
2009,Alcoutim,35.6,700.8,3005.0,0.23321131447587354
2009,Alenquer,1900.2,1021.1,20957.0,0.048723576847831275
2009,Alenquer,1900.2,1021.1,21985.0,0.04644530361610189
2009,Alenquer,1900.2,1021.1,42942.0,0.023778585068231568
2009,Alfândega da Fé,245.3,749.2,2536.0,0.29542586750788646
2009,Alfândega da Fé,245.3,749.2,2688.0,0.2787202380952381
2009,Alfândega da Fé,245.3,749.2,5224.0,0.14341500765696785
2009,Alijó,624.8,820.6,5933.0,0.13831114107534132
2009,Alijó,624.8,820.6,6311.0,0.13002693709396293
2009,Alijó,624.8,820.6,12244.0,0.06702058150931069
2009,Aljezur,130.5,746.2,2897.0,0.25757680358992063
2009,Aljezur,130.5,746.2,2938.0,0.25398230088495577
2009,Aljezur,130.5,746.2,5835.0,0.1278834618680377
2009,Aljustrel,382.5,941.4,4656.0,0.20219072164948454
2009,Aljustrel,382.5,941.4,4733.0,0.1989013310796535
2009,Aljustrel,382.5,941.4,9389.0,0.10026626903823622
2009,Almeida,158.3,712.2,3507.0,0.20307955517536358
2009,Almeida,158.3,712.2,3923.0,0.1815447361712975
2009,Almeida,158.3,712.2,7430.0,0.09585464333781965
2009,Almeirim,1002.4,849.1,11075.0,0.07666817155756207
2009,Almeirim,1002.4,849.1,12214.0,0.06951858523006386
2009,Almeirim,1002.4,849.1,23289.0,0.03645927261797415
2009,Almodôvar,482.9,745.6,3729.0,0.19994636631804774
2009,Almodôvar,482.9,745.6,3814.0,0.19549029889879393
2009,Almodôvar,482.9,745.6,7543.0,0.09884661275354634
2009,Alpiarça,328.4,815.7,3744.0,0.21786858974358975
2009,Alpiarça,328.4,815.7,4035.0,0.2021561338289963
2009,Alpiarça,328.4,815.7,7779.0,0.10485923640570768
2009,Alter do Chão,130.2,764.0,1718.0,0.4447031431897555
2009,Alter do Chão,130.2,764.0,1908.0,0.40041928721174
2009,Alter do Chão,130.2,764.0,3626.0,0.21070049641478214
2009,Alvaiázere,234.4,771.7,3475.0,0.22207194244604317
2009,Alvaiázere,234.4,771.7,3946.0,0.19556512924480488
2009,Alvaiázere,234.4,771.7,7421.0,0.10398868077078562
2009,Alvito,75.8,867.9,1215.0,0.714320987654321
2009,Alvito,75.8,867.9,1320.0,0.6575
2009,Alvito,75.8,867.9,2535.0,0.34236686390532545
2009,Amares,914.8,792.5,9188.0,0.08625380931649979
2009,Amares,914.8,792.5,9759.0,0.08120709089046009
2009,Amares,914.8,792.5,18947.0,0.04182720219559825
2009,Anadia,1083.9,873.8,14154.0,0.06173519853045075
2009,Anadia,1083.9,873.8,15342.0,0.05695476469821405
2009,Anadia,1083.9,873.8,29496.0,0.02962435584486032
2009,Ansião,530.4,793.7,6291.0,0.1261643617866794
2009,Ansião,530.4,793.7,6982.0,0.11367802921798913
2009,Ansião,530.4,793.7,13273.0,0.059798086340691635
2009,Arcos de Valdevez,790.9,734.4,10601.0,0.06927648335062729
2009,Arcos de Valdevez,790.9,734.4,12584.0,0.05835982199618563
2009,Arcos de Valdevez,790.9,734.4,23185.0,0.031675652361440584
2009,Arganil,382.3,703.1,5883.0,0.11951385347611763
2009,Arganil,382.3,703.1,6457.0,0.10888957720303546
2009,Arganil,382.3,703.1,12340.0,0.05697730956239871
2009,Armamar,264.9,716.8,3081.0,0.23265173644920478
2009,Armamar,264.9,716.8,3392.0,0.2113207547169811
2009,Armamar,264.9,716.8,6473.0,0.1107369071527885
2009,Arouca,710.0,698.2,10974.0,0.0636231091671223
2009,Arouca,710.0,698.2,11656.0,0.05990048043925875
2009,Arouca,710.0,698.2,22630.0,0.030852850198851086
2009,Arraiolos,237.0,793.1,3592.0,0.22079621380846326
2009,Arraiolos,237.0,793.1,3811.0,0.20810810810810812
2009,Arraiolos,237.0,793.1,7403.0,0.10713224368499258
2009,Arronches,101.6,701.1,1552.0,0.4517396907216495
2009,Arronches,101.6,701.1,1656.0,0.42336956521739133
2009,Arronches,101.6,701.1,3208.0,0.21854738154613468
2009,Arruda dos Vinhos,358.3,917.8,6435.0,0.14262626262626263
2009,Arruda dos Vinhos,358.3,917.8,6661.0,0.1377871190511935
2009,Arruda dos Vinhos,358.3,917.8,13096.0,0.07008246792913866
2009,Avis,232.3,814.8,2235.0,0.36456375838926175
2009,Avis,232.3,814.8,2435.0,0.3346201232032854
2009,Avis,232.3,814.8,4670.0,0.17447537473233404
2009,Azambuja,980.5,1017.3,11009.0,0.09240621309837406
2009,Azambuja,980.5,1017.3,10776.0,0.09440423162583518
2009,Azambuja,980.5,1017.3,21785.0,0.046697268762910256
2009,Baião,1759.2,694.9,9990.0,0.06955955955955956
2009,Baião,1759.2,694.9,10862.0,0.06397532682747192
2009,Baião,1759.2,694.9,20852.0,0.033325340494916554
2009,Barrancos,90.5,737.8,903.0,0.8170542635658914
2009,Barrancos,90.5,737.8,950.0,0.7766315789473683
2009,Barrancos,90.5,737.8,1853.0,0.39816513761467887
2009,Batalha,494.9,873.7,7636.0,0.11441854374017811
2009,Batalha,494.9,873.7,8125.0,0.1075323076923077
2009,Batalha,494.9,873.7,15761.0,0.055434299854070175
2009,Beja,1220.8,930.2,17455.0,0.05329132053852764
2009,Beja,1220.8,930.2,18519.0,0.05022949403315514
2009,Beja,1220.8,930.2,35974.0,0.025857563796074946
2009,Belmonte,356.1,743.7,3339.0,0.22273135669362085
2009,Belmonte,356.1,743.7,3614.0,0.2057830658550083
2009,Belmonte,356.1,743.7,6953.0,0.10696102401840933
2009,Benavente,1328.0,953.3,13918.0,0.06849403649949705
2009,Benavente,1328.0,953.3,14559.0,0.06547839824163747
2009,Benavente,1328.0,953.3,28477.0,0.033476138638199246
2009,Bombarral,486.8,778.6,6432.0,0.12105099502487562
2009,Bombarral,486.8,778.6,6854.0,0.11359789903705865
2009,Bombarral,486.8,778.6,13286.0,0.05860304079482162
2009,Borba,295.3,841.0,3657.0,0.22996992070002734
2009,Borba,295.3,841.0,3756.0,0.2239084132055378
2009,Borba,295.3,841.0,7413.0,0.11344934574396331
2009,Boticas,205.0,675.0,2837.0,0.23792738808600636
2009,Boticas,205.0,675.0,3009.0,0.22432701894317048
2009,Boticas,205.0,675.0,5846.0,0.11546356483065344
2009,Bragança,1519.3,820.2,17043.0,0.048125330047526844
2009,Bragança,1519.3,820.2,18388.0,0.044605177289536654
2009,Bragança,1519.3,820.2,35431.0,0.023149219609946092
2009,Cabeceiras de Basto,1120.1,730.4,8244.0,0.08859776807375061
2009,Cabeceiras de Basto,1120.1,730.4,8673.0,0.08421538106768131
2009,Cabeceiras de Basto,1120.1,730.4,16917.0,0.043175503930957024
2009,Cadaval,508.3,794.3,6896.0,0.11518271461716936
2009,Cadaval,508.3,794.3,7348.0,0.108097441480675
2009,Cadaval,508.3,794.3,14244.0,0.05576383038472339
2009,Caldas da Rainha,2479.1,860.7,24516.0,0.0351076847772883
2009,Caldas da Rainha,2479.1,860.7,27106.0,0.03175311739098355
2009,Caldas da Rainha,2479.1,860.7,51622.0,0.016673123861919336
2009,Caminha,584.3,879.2,7814.0,0.11251599692858971
2009,Caminha,584.3,879.2,9015.0,0.09752634498058792
2009,Caminha,584.3,879.2,16829.0,0.052243151702418444
2009,Campo Maior,383.2,1084.7,4122.0,0.2631489568170791
2009,Campo Maior,383.2,1084.7,4371.0,0.2481583161747884
2009,Campo Maior,383.2,1084.7,8493.0,0.12771694336512424
2009,Cantanhede,1210.9,912.7,17564.0,0.051964245046686404
2009,Cantanhede,1210.9,912.7,19334.0,0.0472069928623151
2009,Cantanhede,1210.9,912.7,36898.0,0.02473575803566589
2009,Carrazeda de Ansiães,236.8,698.6,3157.0,0.2212860310421286
2009,Carrazeda de Ansiães,236.8,698.6,3394.0,0.20583382439599293
2009,Carrazeda de Ansiães,236.8,698.6,6551.0,0.10664020760189284
2009,Carregal do Sal,386.0,771.0,4728.0,0.16307106598984772
2009,Carregal do Sal,386.0,771.0,5192.0,0.14849768875192604
2009,Carregal do Sal,386.0,771.0,9920.0,0.07772177419354839
2009,Cartaxo,939.8,909.4,11876.0,0.07657460424385315
2009,Cartaxo,939.8,909.4,12587.0,0.07224914594422817
2009,Cartaxo,939.8,909.4,24463.0,0.037174508441319545
2009,Castanheira de Pêra,187.0,727.8,1553.0,0.4686413393432067
2009,Castanheira de Pêra,187.0,727.8,1709.0,0.42586307782328847
2009,Castanheira de Pêra,187.0,727.8,3262.0,0.22311465358675658
2009,Castelo Branco,2654.8,841.8,26761.0,0.03145622360898322
2009,Castelo Branco,2654.8,841.8,29463.0,0.02857142857142857
2009,Castelo de Paiva,1323.5,717.9,8271.0,0.08679724338048603
2009,Castelo de Paiva,1323.5,717.9,8623.0,0.08325408790444161
2009,Castelo de Paiva,1323.5,717.9,16894.0,0.042494376701787615
2009,Castelo de Vide,112.8,766.7,1662.0,0.46131167268351386
2009,Castelo de Vide,112.8,766.7,1814.0,0.4226571113561191
2009,Castelo de Vide,112.8,766.7,3476.0,0.22056962025316457
2009,Castro Daire,498.1,738.7,7509.0,0.09837528299374085
2009,Castro Daire,498.1,738.7,8058.0,0.09167287168031771
2009,Castro Daire,498.1,738.7,15567.0,0.04745294533307638
2009,Castro Marim,220.8,870.6,3365.0,0.2587221396731055
2009,Castro Marim,220.8,870.6,3377.0,0.2578027835356826
2009,Castro Marim,220.8,870.6,6742.0,0.12913082171462476
2009,Castro Verde,302.1,1325.2,3615.0,0.36658367911479944
2009,Castro Verde,302.1,1325.2,3746.0,0.3537640149492792
2009,Castro Verde,302.1,1325.2,7361.0,0.18002988724358104
2009,Celorico da Beira,264.4,705.2,3718.0,0.18967186659494353
2009,Celorico da Beira,264.4,705.2,4150.0,0.1699277108433735
2009,Celorico da Beira,264.4,705.2,7868.0,0.08962887646161669
2009,Celorico de Basto,1349.8,667.1,9850.0,0.0677258883248731
2009,Celorico de Basto,1349.8,667.1,10379.0,0.06427401483765295
2009,Celorico de Basto,1349.8,667.1,20229.0,0.03297740867072026
2009,Chamusca,455.2,789.0,4966.0,0.15888038662907772
2009,Chamusca,455.2,789.0,5324.0,0.1481968444778362
2009,Chamusca,455.2,789.0,10290.0,0.07667638483965014
2009,Chaves,2042.3,763.5,20052.0,0.03807600239377618
2009,Chaves,2042.3,763.5,21733.0,0.03513090691575024
2009,Chaves,2042.3,763.5,41785.0,0.018272107215507958
2009,Cinfães,1278.3,730.7,10099.0,0.07235369838597881
2009,Cinfães,1278.3,730.7,10638.0,0.06868772325625118
2009,Cinfães,1278.3,730.7,20737.0,0.03523653373197666
2009,Condeixa-a-Nova,463.0,869.0,7952.0,0.10928068410462777
2009,Condeixa-a-Nova,463.0,869.0,8996.0,0.09659848821698533
2009,Condeixa-a-Nova,463.0,869.0,16948.0,0.051274486665093225
2009,Constância,168.7,1100.3,1931.0,0.5698083894355256
2009,Constância,168.7,1100.3,2094.0,0.5254536771728748
2009,Constância,168.7,1100.3,4025.0,0.2733664596273292
2009,Coruche,1160.3,889.5,9662.0,0.09206168495135583
2009,Coruche,1160.3,889.5,10506.0,0.08466590519703027
2009,Coruche,1160.3,889.5,20168.0,0.04410452201507338
2009,Covilhã,3395.2,806.0,24995.0,0.032246449289857974
2009,Covilhã,3395.2,806.0,27265.0,0.029561709150926097
2009,Covilhã,3395.2,806.0,52260.0,0.015422885572139304
2009,Crato,146.0,728.6,1774.0,0.4107102593010147
2009,Crato,146.0,728.6,2018.0,0.36105054509415263
2009,Crato,146.0,728.6,3792.0,0.19214135021097048
2009,Cuba,193.8,812.9,2386.0,0.3406957250628667
2009,Cuba,193.8,812.9,2519.0,0.322707423580786
2009,Cuba,193.8,812.9,4905.0,0.1657288481141692
2009,Elvas,1205.4,795.1,11144.0,0.07134781048097631
2009,Elvas,1205.4,795.1,11990.0,0.06631359466221852
2009,Elvas,1205.4,795.1,23134.0,0.03436932653237659
2009,Entroncamento,670.8,1023.4,9601.0,0.10659306322258098
2009,Entroncamento,670.8,1023.4,10476.0,0.09768995799923635
2009,Entroncamento,670.8,1023.4,20077.0,0.05097375105842506
2009,Espinho,3060.3,811.4,15323.0,0.052953077073680084
2009,Espinho,3060.3,811.4,16826.0,0.04822298823249732
2009,Espinho,3060.3,811.4,32149.0,0.02523873215341068
2009,Esposende,1189.3,745.6,16355.0,0.04558850504432895
2009,Esposende,1189.3,745.6,17985.0,0.04145676953016403
2009,Esposende,1189.3,745.6,34340.0,0.02171228887594642
2009,Estarreja,1314.6,988.9,13109.0,0.07543672286215578
2009,Estarreja,1314.6,988.9,14068.0,0.07029428490190504
2009,Estarreja,1314.6,988.9,27177.0,0.036387386392905764
2009,Estremoz,471.2,851.9,6927.0,0.12298253212068716
2009,Estremoz,471.2,851.9,7576.0,0.11244720168954593
2009,Estremoz,471.2,851.9,14503.0,0.058739571123215886
2009,Évora,2539.5,940.1,26940.0,0.034896065330363775
2009,Évora,2539.5,940.1,29839.0,0.03150574751164583
2009,Faro,2495.8,1016.0,30716.0,0.033077223596822504
2009,Faro,2495.8,1016.0,33316.0,0.03049585784607996
2009,Ferreira do Alentejo,346.9,837.4,4079.0,0.20529541554302524
2009,Ferreira do Alentejo,346.9,837.4,4273.0,0.19597472501755206
2009,Ferreira do Alentejo,346.9,837.4,8352.0,0.10026340996168583
2009,Ferreira do Zêzere,217.9,698.4,4148.0,0.16837029893924782
2009,Ferreira do Zêzere,217.9,698.4,4576.0,0.15262237762237763
2009,Ferreira do Zêzere,217.9,698.4,8724.0,0.08005502063273727
2009,Figueira da Foz,3111.2,1025.5,29568.0,0.03468276515151515
2009,Figueira da Foz,3111.2,1025.5,32827.0,0.031239528436957383
